station_cd,station_name,lon,lat
1111623,遠軽,143.520667,44.060278
1111624,安国,143.535762,43.993322
1111625,生野,143.532945,43.959928
1111626,生田原,143.534627,43.923674
1111628,西留辺蘂,143.603257,43.785345
1111629,留辺蘂,143.621394,43.785534
1111630,相内,143.756449,43.795948
1111631,東相内,143.809499,43.805466
1111632,西北見,143.841586,43.803114
1111633,北見,143.898167,43.805504
1111634,柏陽,143.916737,43.824911
1111635,愛し野,143.932962,43.841426
1111636,端野,143.942336,43.851172
1111637,緋牛内,143.999887,43.880431
1111638,美幌,144.10563,43.836967
1111639,西女満別,144.148372,43.880057
1111640,女満別,144.170665,43.915886
1111641,呼人,144.218945,43.963695
1111642,網走,144.254156,44.019873
1111701,網走,144.254156,44.019873
1111702,桂台,144.273223,44.016913
1111703,鱒浦,144.296526,43.982481
1111704,藻琴,144.320079,43.968358
1111705,北浜,144.352541,43.958549
1111706,原生花園,144.41443,43.941033
1111707,浜小清水,144.453187,43.934077
1111708,止別,144.519818,43.921558
1111709,知床斜里,144.661647,43.910749
1111710,中斜里,144.659033,43.874608
1111711,南斜里,144.63431,43.867531
1111712,清里町,144.593948,43.83871
1111713,札弦,144.531526,43.786574
1111714,緑,144.505499,43.718282
1111715,川湯温泉,144.457749,43.616258
1111716,美留和,144.437656,43.555316
1111717,摩周,144.463981,43.487373
1111719,磯分内,144.554322,43.379389
1111720,標茶,144.608434,43.298472
1111722,茅沼,144.503788,43.202097
1111723,塘路,144.496817,43.151739
1111724,細岡,144.469683,43.105055
1111725,釧路湿原,144.447799,43.100647
1111726,遠矢,144.458367,43.047878
1111727,東釧路,144.411307,42.995207
1111728,釧路,144.381983,42.990584
1111801,中小国,140.596798,41.051702
1111802,津軽今別,140.515625,41.144885
1111803,竜飛海底,140.347946,41.257228
1111804,吉岡海底,140.239354,41.442162
1111805,知内,140.33494,41.601092
1111806,木古内,140.434004,41.677642
1111901,江差,140.127933,41.856727
1111902,上ノ国,140.124106,41.805567
1111903,中須田,140.149321,41.787214
1111904,桂岡,140.166071,41.773096
1111905,宮越,140.184998,41.762404
1111906,湯ノ岱,140.243698,41.750312
1111907,神明,140.265709,41.734481
1111908,吉堀,140.379226,41.684059
1111909,渡島鶴岡,140.41137,41.671014
1111910,木古内,140.434004,41.677642
1111911,札苅,140.468097,41.699271
1111912,泉沢,140.506797,41.700867
1111913,釜谷,140.53718,41.712153
1111914,渡島当別,140.579109,41.737309
1111915,茂辺地,140.600561,41.766604
1111916,上磯,140.640599,41.81956
1111917,清川口,140.652906,41.824615
1111918,久根別,140.666468,41.826727
1111919,東久根別,140.679731,41.826005
1111920,七重浜,140.707957,41.817643
1111921,五稜郭,140.733539,41.803557
1111922,函館,140.726413,41.773709
1120201,新庄,140.306064,38.76256
1120202,泉田,140.310039,38.811758
1120203,羽前豊里,140.242247,38.836748
1120204,真室川,140.254814,38.858243
1120205,釜淵,140.263864,38.93281
1120206,大滝,140.320199,38.971485
1120207,及位,140.361164,38.992983
1120208,院内,140.4138,39.049706
1120209,横堀,140.45131,39.064533
1120210,三関,140.483796,39.110196
1120211,上湯沢,140.485262,39.134221
1120212,湯沢,140.487011,39.163443
1120213,下湯沢,140.50249,39.197196
1120214,十文字,140.526287,39.221186
1120215,醍醐,140.53853,39.248716
1120216,柳田,140.553856,39.276385
1120217,横手,140.5604,39.310146
1120218,後三年,140.538397,39.364891
1120219,飯詰,140.515378,39.406013
1120220,大曲,140.479628,39.465712
1120221,神宮寺,140.426518,39.494841
1120222,刈和野,140.372402,39.547646
1120223,峰吉川,140.32314,39.566586
1120224,羽後境,140.320722,39.618679
1120225,大張野,140.274071,39.663347
1120226,和田,140.218754,39.65087
1120227,四ツ小屋,140.144946,39.661341
1120228,秋田,140.129931,39.716748
1120229,土崎,140.073601,39.758453
1120230,上飯島,140.06847,39.779336
1120231,追分,140.05781,39.809925
1120232,大久保,140.063079,39.87089
1120233,羽後飯塚,140.0733,39.898981
1120234,井川さくら,140.076022,39.911925
1120235,八郎潟,140.078382,39.947366
1120236,鯉川,140.077474,39.996361
1120237,鹿渡,140.082621,40.044619
1120238,森岳,140.070886,40.103164
1120239,北金岡,140.063565,40.141895
1120240,東能代,140.065746,40.191579
1120241,鶴形,140.118507,40.203879
1120242,富根,140.172643,40.217956
1120243,二ツ井,140.235729,40.212506
1120244,前山,140.312378,40.214785
1120245,鷹ノ巣,140.369816,40.232059
1120246,糠沢,140.397827,40.251094
1120247,早口,140.447572,40.271315
1120248,下川沿,140.496625,40.276408
1120249,大館,140.555946,40.288122
1120250,白沢,140.591657,40.338103
1120251,陣場,140.607523,40.398864
1120252,津軽湯の沢,140.632055,40.441879
1120253,碇ケ関,140.622443,40.478988
1120254,長峰,140.603069,40.516072
1120255,大鰐温泉,140.566914,40.52154
1120256,石川,140.530951,40.556021
1120257,弘前,140.485016,40.599723
1120258,撫牛子,140.497616,40.621298
1120259,川部,140.521376,40.646862
1120260,北常盤,140.54359,40.67053
1120261,浪岡,140.580664,40.71021
1120262,大釈迦,140.587776,40.756736
1120263,鶴ケ坂,140.634878,40.791228
1120264,津軽新城,140.672025,40.828022
1120265,新青森,140.693472,40.8275
1120266,青森,140.734738,40.828668
1120301,野辺地,141.119603,40.855142
1120302,北野辺地,141.134115,40.871077
1120303,有戸,141.189264,40.913949
1120304,吹越,141.246552,41.022038
1120305,陸奥横浜,141.249757,41.086544
1120306,有畑,141.276421,41.131818
1120307,近川,141.279021,41.191687
1120308,金谷沢,141.248432,41.228854
1120309,赤川,141.209339,41.267829
1120310,下北,141.18989,41.28288
1120311,大湊,141.161772,41.280344
1120401,東能代,140.065746,40.191579
1120402,能代,140.033084,40.206577
1120403,向能代,140.039111,40.225669
1120404,北能代,140.033835,40.254138
1120405,鳥形,140.036931,40.271433
1120406,沢目,140.037824,40.295929
1120407,東八森,140.032462,40.332086
1120408,八森,140.017882,40.37135
1120409,滝ノ間,140.00221,40.379967
1120410,あきた白神,139.987793,40.386583
1120411,岩館,139.966258,40.406241
1120412,大間越,139.950062,40.492407
1120413,白神岳登山口,139.950318,40.513551
1120414,松神,139.946556,40.534902
1120415,十二湖,139.941986,40.551539
1120416,陸奥岩崎,139.924183,40.583333
1120417,陸奥沢辺,139.894991,40.586175
1120418,ウェスパ椿山,139.871157,40.592913
1120419,艫作,139.864856,40.608534
1120420,横磯,139.89091,40.629891
1120421,深浦,139.929372,40.650239
1120422,広戸,139.955586,40.67434
1120423,追良瀬,139.970298,40.686114
1120424,驫木,139.982954,40.707218
1120425,風合瀬,139.99432,40.731826
1120426,大戸瀬,140.033596,40.759325
1120427,千畳敷,140.054832,40.767769
1120428,北金ケ沢,140.095052,40.745995
1120429,陸奥柳田,140.123243,40.740616
1120430,陸奥赤石,140.162057,40.76156
1120431,鰺ケ沢,140.220589,40.775255
1120432,鳴沢,140.267617,40.782189
1120433,越水,140.298628,40.787258
1120434,陸奥森田,140.339033,40.781738
